Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
Kenya,Africa,Sub-Saharan Africa,Eastern Africa,97005399322,22.56511937,2049000,69.049,64.313,0.1565,53771300,21.7765043,9.730540276,13.20053005,78830,0,1804.036713,11.46553516,66.681
Kiribati,Oceania,Micronesia,Micronesia,350973780.2,14.58181818,12000,72.342,64.248,0.2039,119446,8.888888889,,,110,0,2938.34687,0,68.295
"Korea, Dem. People's Rep.",Asia,Eastern Asia,Eastern Asia,,0,,75.744,68.615,3.6834,25778815,17.61280932,18.05063057,35.22000122,41910,0,0,26.6353159,72.1795
"Korea, Rep.",Asia,Eastern Asia,Eastern Asia,1.64399E+12,96.15758265,17503000,86.3,80.3,2.3608,51780579,19,84.94790649,105.8117294,718880,1,31749.21007,95.37981796,83.3
Kosovo,Europe,Southern Europe,Southern Europe,7798607179,89.44303197,,74.8,70.3,,1775378,,,,,0,4392.646062,0,72.55
Kuwait,Asia,Western Asia,Western Asia,1.54472E+11,99.54267645,8565000,76.58,74.76,2.6463,4270563,6.349206349,76.47447968,37.2107811,112970,1,36171.31908,56.84263039,75.67
Kyrgyz Republic,Asia,Central Asia,Central Asia,7406338903,38.19903776,8508000,75.8,67.6,2.213,6591600,16.52173913,47.44448853,37.38893127,18120,0,1123.602601,42.4167099,71.7
Lao PDR,Asia,South-eastern Asia,South-eastern Asia,18094142644,25.51043508,4791000,69.746,66.142,0.3726,7275556,27.51677852,15.25498009,13.66650963,29270,0,2486.977304,14.46074486,67.944
Latvia,Europe,0rthern Europe,0rthern Europe,33621087276,86.13545644,8342000,79.9,70.8,3.1905,1901548,30,111.8452072,75.43283081,11660,1,17680.90381,93.63901901,75.35
Leba0n,Asia,Western Asia,Western Asia,32478246858,78.18077489,1936000,80.869,77.14,2.1038,6825442,4.6875,20.60387039,31.82856941,34350,0,4758.409325,26.2162199,79.0045
Lesotho,Africa,Sub-Saharan Africa,Southern Africa,2098178810,29.78780333,1142000,57.58,51.201,0.0692,2142252,23.33333333,12.39754963,8.018039703,5850,0,979.4267015,10.20779467,54.3905
Liberia,Africa,Sub-Saharan Africa,Western Africa,2589500411,7.984479722,,65.497,62.715,0.0376,5057677,12.32876712,9.151920319,14.65242004,9200,0,511.9940262,11.90217018,64.106
Libya,Africa,0rthern Africa,0rthern Africa,26353277728,21.75892062,760000,75.951,70.097,2.0905,6871287,15.95744681,63.63853073,57.49721909,103040,0,3835.275361,60.56787491,73.024
Liechtenstein,Europe,Western Europe,Western Europe,7054504551,99.54661245,98099.99847,85.5,80.7,,38137,12,27.59090996,48.83721161,180,1,184977.9624,38.21406078,83.1
Lithuania,Europe,0rthern Europe,0rthern Europe,52738342285,81.58186838,6150000,81,71.5,6.3528,2794700,26.95035461,85.7025528,62.43534088,18840,1,18870.84205,74.06894684,76.25
Luxembourg,Europe,Western Europe,Western Europe,45156061646,97.06129871,1041000,84.7,80.3,3.009,632275,30,19.96397972,17.3039608,10220,1,71418.38859,18.63397026,82.5
"Macao SAR, China",Asia,Eastern Asia,Eastern Asia,48827470417,86.46792571,39406000,87.179,81.281,1.562,649342,,115.8118362,85.10346985,820.329836,1,75195.30604,100.457653,84.23
